Index,Seed,Level,Model,Command,DurationSeconds
2,1,full-divider_salad,dc,"python main.py --num-agents 2 --seed 1 --level full-divider_salad --model1 dc --model2 dc --record   --max-num-timesteps 1",13.4
5,1,full-divider_salad,greedy,"python main.py --num-agents 2 --seed 1 --level full-divider_salad --model1 greedy --model2 greedy --record   --max-num-timesteps 1",13.4
10,1,partial-divider_salad,greedy,"python main.py --num-agents 2 --seed 1 --level partial-divider_salad --model1 greedy --model2 greedy --record   --max-num-timesteps 1",25.3
9,1,partial-divider_salad,up,"python main.py --num-agents 2 --seed 1 --level partial-divider_salad --model1 up --model2 up --record   --max-num-timesteps 1",26.8
12,1,open-divider_salad,dc,"python main.py --num-agents 2 --seed 1 --level open-divider_salad --model1 dc --model2 dc --record   --max-num-timesteps 1",26.0
14,1,open-divider_salad,up,"python main.py --num-agents 2 --seed 1 --level open-divider_salad --model1 up --model2 up --record   --max-num-timesteps 1",15.0
7,1,partial-divider_salad,dc,"python main.py --num-agents 2 --seed 1 --level partial-divider_salad --model1 dc --model2 dc --record   --max-num-timesteps 1",48.9
15,1,open-divider_salad,greedy,"python main.py --num-agents 2 --seed 1 --level open-divider_salad --model1 greedy --model2 greedy --record   --max-num-timesteps 1",11.3
17,1,full-divider_tomato,dc,"python main.py --num-agents 2 --seed 1 --level full-divider_tomato --model1 dc --model2 dc --record   --max-num-timesteps 1",6.8
16,1,full-divider_tomato,bd,"python main.py --num-agents 2 --seed 1 --level full-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",69.0
4,1,full-divider_salad,up,"python main.py --num-agents 2 --seed 1 --level full-divider_salad --model1 up --model2 up --record   --max-num-timesteps 1",115.1
20,1,full-divider_tomato,greedy,"python main.py --num-agents 2 --seed 1 --level full-divider_tomato --model1 greedy --model2 greedy --record   --max-num-timesteps 1",14.1
18,1,full-divider_tomato,fb,"python main.py --num-agents 2 --seed 1 --level full-divider_tomato --model1 fb --model2 fb --record   --max-num-timesteps 1",74.6
3,1,full-divider_salad,fb,"python main.py --num-agents 2 --seed 1 --level full-divider_salad --model1 fb --model2 fb --record   --max-num-timesteps 1",128.0
19,1,full-divider_tomato,up,"python main.py --num-agents 2 --seed 1 --level full-divider_tomato --model1 up --model2 up --record   --max-num-timesteps 1",75.5
8,1,partial-divider_salad,fb,"python main.py --num-agents 2 --seed 1 --level partial-divider_salad --model1 fb --model2 fb --record   --max-num-timesteps 1",141.2
25,1,partial-divider_tomato,greedy,"python main.py --num-agents 2 --seed 1 --level partial-divider_tomato --model1 greedy --model2 greedy --record   --max-num-timesteps 1",13.9
27,1,open-divider_tomato,dc,"python main.py --num-agents 2 --seed 1 --level open-divider_tomato --model1 dc --model2 dc --record   --max-num-timesteps 1",18.4
